City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,sao joao da barra,-21.6403,-41.0511,22.34,66,96,5.33,BR,1682057323
1,west island,-12.1568,96.8225,28.99,74,40,7.72,CC,1682057324
2,stanley,54.868,-1.6985,8.07,88,59,5.66,GB,1682057324
3,papatowai,-46.5619,169.4708,11.73,91,78,0.26,NZ,1682057325
4,hawaiian paradise park,19.5933,-154.9731,23.73,93,100,2.57,US,1682057325
5,mount isa,-20.7333,139.5,30.87,29,40,5.14,AU,1682057325
6,uturoa,-16.7333,-151.4333,28.5,78,100,8.16,PF,1682057326
7,bull savanna,17.8868,-77.5902,22.35,85,5,2.35,JM,1682057326
8,vila franca do campo,37.7167,-25.4333,13.23,79,68,4.88,PT,1682057327
9,pasuquin,18.3328,120.6177,31.14,63,12,4.75,PH,1682057327
10,puerto natales,-51.7236,-72.4875,4.51,92,88,3.49,CL,1682057327
11,toliara,-23.35,43.6667,26.55,72,51,2.65,MG,1682057328
12,utrik,11.2278,169.8474,26.63,74,69,8.24,MH,1682057328
13,albany,42.6001,-73.9662,8.23,59,97,1.0,US,1682057329
14,prince george,53.9166,-122.753,3.47,89,100,0.45,CA,1682057329
15,port-aux-francais,-49.35,70.2167,4.38,66,84,14.46,TF,1682057330
16,bubaque,11.2833,-15.8333,24.9,70,100,2.9,GW,1682057330
17,queenstown,-31.8976,26.8753,8.84,66,70,1.16,ZA,1682057331
18,punta arenas,-53.15,-70.9167,4.06,87,40,8.23,CL,1682057331
19,st. john's,47.5649,-52.7093,2.04,96,100,12.86,CA,1682057331
20,polyarnyy,69.1989,33.4478,1.39,85,100,7.08,RU,1682057332
21,midvagur,62.0511,-7.1939,4.46,75,2,0.51,FO,1682057332
22,papao,-17.75,-149.55,28.7,82,100,11.53,PF,1682057333
23,ushuaia,-54.8,-68.3,4.81,75,75,7.2,AR,1682057333
24,thompson,55.7435,-97.8558,-8.73,96,99,2.23,CA,1682057334
25,adamstown,-25.066,-130.1015,24.21,74,82,1.3,PN,1682057334
26,mount gambier,-37.8333,140.7667,18.44,64,61,3.13,AU,1682057335
27,antalaha,-14.9003,50.2788,27.71,70,97,2.03,MG,1682057335
28,hasaki,35.7333,140.8333,27.9,81,99,5.75,JP,1682057336
29,vorgashor,67.5833,63.95,-2.14,93,100,4.64,RU,1682057336
30,remire-montjoly,4.9167,-52.2667,26.02,89,20,2.57,GF,1682057337
31,bredasdorp,-34.5322,20.0403,12.19,70,83,2.12,ZA,1682057337
32,udachny,66.4167,112.4,-1.97,42,89,4.98,RU,1682057338
33,talnakh,69.4865,88.3972,-5.44,90,95,4.35,RU,1682057338
34,cabo san lucas,22.8909,-109.9124,23.62,61,95,3.54,MX,1682057338
35,labytnangi,66.6572,66.4183,-0.76,94,65,3.4,RU,1682057339
36,bayji,34.9311,43.487,22.54,41,75,6.49,IQ,1682057339
37,nadi,-17.8,177.4167,28.0,83,20,4.63,FJ,1682057340
38,enewetak,11.3474,162.3373,26.94,82,86,7.95,MH,1682057341
39,wailua homesteads,22.0669,-159.378,21.44,86,75,2.57,US,1682057341
40,ribeira grande,38.5167,-28.7,13.76,69,99,3.13,PT,1682057341
41,fortuna,40.5982,-124.1573,11.48,81,100,0.88,US,1682057342
42,fort mcmurray,56.7268,-111.381,-1.79,92,21,2.49,CA,1682057342
43,longyearbyen,78.2186,15.6401,-14.09,56,20,7.2,SJ,1682057343
44,kerikeri,-35.2268,173.9474,19.95,96,99,1.34,NZ,1682057189
45,ceeldheer,3.8488,47.1806,30.19,61,91,3.32,SO,1682057344
46,rockland,41.1668,-74.0496,11.0,74,71,1.16,US,1682057344
47,rio branco,-9.9747,-67.81,21.34,100,20,1.03,BR,1682057345
48,weno,7.4515,151.8468,30.97,70,40,2.57,FM,1682057345
